Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
SYNOVUS FINANCIAL CORP;650667;76642;165690;165690;2352010;1558319;38405510;1194130;36996171;555979;1595805;1948658;4941697;497267;48203300
T. ROWE PRICE GROUP, INC;n.a.;n.a.;n.a.;n.a.;n.a.;146300;n.a.;1859300;n.a.;665700;n.a.;5355400;8223100;665700;9330400
TAICHUNG COMMERCIAL BANK;580982;340687;344417;763573;n.a.;494761;19375605;3068288;14462178;5086;277371;401565;1704285;n.a.;22676175
TAISHIN FINANCIAL HOLDING CO., LTD;1500008;387168;3990732;5814234;176114;2176114;47634522;15466486;37815289;81793;650677;1450222;5946248;52062;67459686
TAIWAN BUSINESS BANK,LTD;3117642;445065;28851;3534655;n.a.;1803334;47666562;9926437;37615855;11705;565705;773421;3172682;n.a.;58000159
TAIWAN COOPERATIVE FINANCIAL HOLDING CO LTD;2020237;47709;1513148;9583506;n.a.;2327889;96054112;22939379;72856473;123288;1174045;1715257;7536946;105295;124210739
TATRA BANKA A.S.;226744;194552;61140;254913;n.a.;1108629;13372336;858852;12310214;60431;329118;531939;1394560;13728;16301715
TBC BANK GROUP PLC;122532;n.a.;n.a.;58240;n.a.;1854626;3504315;705262;4395878;79909;279506;392580;923268;21466;6419875
TCF FINANCIAL CORPORATION;735513;36273;219145;219145;2767180;2037270;34506030;1230485;34584234;1524561;1288532;1761165;5727244;1299880;46671900
TEXAS CAPITAL BANCSHARES, INC;4263770;30000;141766;141766;2401900;395535;26478630;4425587;27028383;84213;985939;1054157;2830790;15094;32548100
TFS FINANCIAL CORP;n.a.;n.a.;n.a.;n.a.;3587616;315365;8766384;278809;13195745;17812;265421;285885;1696754;9732;14542356
THANACHART CAPITAL PUBLIC COMPANY LIMITED;44307;n.a.;n.a.;519334;n.a.;1485058;n.a.;236287;1964151;5008;90854;480626;2456018;n.a.;5336823
THE 77 BANK;91601;n.a.;110267;190359;2658694;2631251;69705531;7138317;44369836;3533;624526;840561;4116237;n.a.;80681116
THE BLACKSTONE GROUP INC;n.a.;n.a.;154118;154118;n.a.;11623717;n.a.;2523651;n.a.;2267368;-17250;7583018;15015401;1869860;32585506
THE CHUGOKU BANK, LTD;660874;n.a.;3145060;3421674;2124039;1450202;61653921;5975170;44703405;28188;533247;846237;4702778;n.a.;74952956
THE COMMERCIAL BANK (PQSC);3405614;n.a.;2534015;6189776;n.a.;5961838;20960603;5916878;24178421;64939;814061;1192265;5976986;30180;40532003
THE GUNMA BANK LTD;164416;n.a.;1007663;1007663;1555777;4895354;64766405;7956790;50577352;89788;621711;1151858;4489669;n.a.;77432054
THE HACHIJUNI BANK, LTD;394112;n.a.;5677452;13460175;2370506;7235428;64172072;15817507;49288741;46375;634784;1179062;6885281;n.a.;96325183
THE PACIFIC SECURITIES CO.,LTD.;1474564;528294;954029;973351;n.a.;954939;n.a.;3494072;322013;7900;-32804;254327;1494700;n.a.;4397841
THE SHIGA BANK, LTD;115805;n.a.;2166863;3421564;613459;4350368;44953387;8718676;35247573;18031;394029;683385;3457222;n.a.;57819708
THE SHIZUOKA BANK;1667976;n.a.;3066973;4273073;1283836;6794103;91685330;14490580;81826857;427387;976909;1378804;9133321;n.a.;115388891
THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED;2212874;n.a.;n.a.;4836639;n.a.;2585130;71613220;16944325;66407808;636300;3296445;4711616;13293310;42117;98287006
TIEN PHONG COMMERCIAL JOINT STOCK BANK;907962;n.a.;n.a.;1772486;501859;151653;3992205;1314590;4078401;8725;243288;379553;564659;n.a.;7101643
TISCO FINANCIAL GROUP PCL;1436218;n.a.;n.a.;154412;n.a.;829639;7166033;1538857;7738621;10926;424236;644735;1299865;n.a.;9892688
TMB BANK PUBLIC COMPANY LIMITED;4739537;n.a.;n.a.;2872786;n.a.;3609306;46365724;8845911;44724747;741626;890927;1320607;6460552;464781;61623344
TOMPKINS FINANCIAL CORP;1972;0;60346;60346;409343;301715;5212924;137982;4877655;98670;210628;286061;663054;92447;6725620
TORONTO DOMINION BANK;145530391;126090422;95635256;108363979;n.a.;18853343;661265938;351240111;521583571;14801671;18184650;29737081;66642095;12899696;1075448296
TOWNE BANK;36236;0;51717;51717;365000;355819;9331167;442616;8780399;501215;358697;654487;1653694;446816;11947775
TP ICAP PLC;922441;855522;855522;855522;n.a.;1087772;n.a.;1949855;10497;2062700;-64295;2393362;2270020;1302965;68317090
TRANSILVANIA BANK;1472738;11933;n.a.;415429;n.a.;489966;18080422;8396565;9470956;57714;721401;1109170;2162466;2459;21527010
TRICO BANCSHARES;183690;0;0;0;18664;84562;5366996;276506;4282019;250629;257069;310746;906570;220872;6471180
TRIUMPH BANCORP, INC;130133;0;2033;2033;400000;177934;3789904;197879;4168154;190286;255989;287472;636591;158743;5060300
TRUIST FINANCIAL CORPORATION;16387000;1417000;2228000;2228000;21092000;35163000;334727000;26177000;306666000;29926000;7313000;12561000;66558000;24154000;473078000
TRUSTMARK CORPORATION;135348;0;256020;256020;57416;89836;11245560;358916;9549485;466364;426589;610799;1660706;379627;13497900
TURKIYE HALK BANKASI A.S.;12887161;12172234;11450455;16110230;n.a.;8554983;45905276;18480261;51601758;35071;1962597;2365036;5408970;n.a.;78810299
TURKIYE IS BANKASI A.S. - ISBANK;4206118;501294;481685;1502889;9452002;14124042;48564417;19454709;53556817;323040;3812592;7661880;12486474;63247;94125014
TURKIYE VAKIFLAR BANKASI TAO;6875758;5676424;4276151;5828848;n.a.;15893598;41154041;17127706;47588640;57485;2324852;3309653;5703530;n.a.;72868122
UCO BANK;1466539;n.a.;n.a.;1305330;n.a.;1040786;25364437;2365478;13417369;n.a.;675494;1032421;2548172;n.a.;31293405
UMB FINANCIAL CORPORATION;2803840;1578350;1896510;1896510;0;97490;21603240;3322416;13337715;208464;670905;1097675;2606438;180867;26561400
UMPQUA HOLDINGS CORPORATION;980158;1;311308;311308;537968;855741;22481640;1376967;21551502;1926139;925564;1256363;4313912;1787650;28846800
UNICAJA BANCO SA;1428841;1247285;3157057;7514381;n.a.;1566499;47319048;8644615;30347236;74397;649935;1257562;4460341;56924;63705326
UNICREDIT SPA;114214940;n.a.;n.a.;152301565;n.a.;108184529;531331059;276586661;589553503;3145520;11539563;20713247;69409260;n.a.;961233715
UNION BANK OF INDIA;5375056;n.a.;n.a.;783878;n.a.;6992562;59232138;8043848;41425114;10746;1544375;2227818;4508721;1657;73688719
UNION BANK OF TAIWAN PUBLIC COMPANY;1906984;1707893;2171575;2565541;20245;414520;17700760;4624406;12776512;70998;215155;462004;1868394;65944;23090453
UNION BANK OF THE PHILIPPINES;2141386;685277;n.a.;2151427;n.a.;1000354;9462372;3059948;6881661;328994;440164;699577;1931597;304579;15189728
UNITED BANK LIMITED;416352;61021;482668;826992;n.a.;388584;10060303;1623088;4487338;13372;410609;565472;1232500;n.a.;13067703
UNITED BANKSHARES, INC.;652255;820;124654;124654;1003080;1084946;13852440;837493;14022557;1507941;577922;724558;3363839;1478010;19662300
UNITED COMMUNITY BANKS, INC;286282;0;0;0;479;234225;10900620;517377;8808945;362606;465680;573427;1635690;327425;12918700
UNITED OVERSEAS BANK LIMITED UOB;39222056;n.a.;n.a.;11357878;6479124;12356191;230645845;81609522;197044179;3078830;4871111;7482976;29590206;3078830;300184524
US BANCORP;17897000;1036000;1993000;1993000;23873000;36396000;361916000;25278000;297660000;12878000;13052000;22886000;52483000;9655000;495426000
VALLEY NATIONAL BANCORP;178423;0;503280;503280;1060120;2017872;29185890;434687;29613554;1460402;898044;1113911;4384190;1373630;37453400
VAN LANSCHOT KEMPEN NV;334274;195809;n.a.;159203;n.a.;1998189;10722958;5005115;9658873;158749;196479;626273;1479035;107000;16085797
VERITEX HOLDINGS, INC.;186399;0;2353;2353;75000;748441;5894800;251550;5905456;442921;285097;313005;1190798;370658;7954710
VIETNAM EXPORT IMPORT COMMERCIAL JOINT STOCK BANK;1116718;n.a.;n.a.;375066;n.a.;n.a.;6015049;1230312;4844827;114009;139079;190312;680169;n.a.;7235514
VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE;5587930;n.a.;n.a.;7777411;840030;1873952;38556910;7185072;39832661;197564;1433774;1757944;3340739;n.a.;53582877
VIETNAM PROSPERITY JOINT STOCK COMMERCIAL BANK;867957;n.a.;n.a.;2197689;1402395;1097780;9239887;1041825;10930679;25061;1324572;1580482;1822921;n.a.;16290397
VIETNAM TECHNOLOGICAL AND COMMERCIAL JOINT-STOCK BANK - TECHCOMBANK;2072564;n.a.;n.a.;2645936;178307;575769;9989064;2714421;9841731;15126;615757;915286;2680750;n.a.;16570912
VZ HOLDING AG;n.a.;n.a.;n.a.;151009;423;378783;2980473;1291530;1987;8304;8120;306573;567831;n.a.;4189456
WADDELL & REED FINANCIAL;n.a.;n.a.;n.a.;n.a.;n.a.;94926;n.a.;406855;n.a.;145869;-6195;1068075;828102;106970;1266328
WALKER & DUNLOP INC;n.a.;n.a.;131984;131984;725581;441231;n.a.;916397;543542;901758;68175;802860;1042285;180424;2675199
WASHINGTON FEDERAL INC;326758;0;0;0;950000;1300000;11994460;483806;11907087;310477;486363;566421;2050916;302231;16423200
WATERLAND FINANCIAL HOLDINGS CO., LTD;101409;51005;6390456;7051126;n.a.;6169;n.a.;8078357;n.a.;7148;59653;232172;1322951;5394;9515605
WEBSTER FINANCIAL CORP;124271;387;1040430;1040430;1691050;974347;23327062;258885;19866257;577774;959726;1241117;3207768;538373;30423600
WELLS FARGO & COMPANY;225074000;104974000;92403000;92403000;51507000;194090000;1322960000;354976000;973227000;41920000;47768000;85256000;187984000;28033000;1927550000
WESBANCO, INC;38521;0;282362;282362;1056360;621584;11004030;242597;10263584;1149304;400636;515479;2593925;1068720;15719300
WESTAMERICA BANCORPORATION;286831;0;30928;30928;0;17136;4813317;374106;1107176;123064;156794;206768;731417;121673;5646350
WESTERN ALLIANCE BANCORPORATION;248619;0;16675;16675;0;393563;22796530;434596;20955506;297847;1040414;1102019;3016750;289895;26821900
WESTERN SECURITIES CO., LTD;1870936;142766;1694121;1823003;329050;86202;n.a.;5250336;657331;24792;32216;526770;2538527;894;6955560
WESTPAC BANKING CORPORATION;8613749;8613749;9375036;9375036;n.a.;137195696;380135398;87973889;482398270;8067080;11410534;13894841;44210674;6003235;611881883
WINTRUST FINANCIAL CORPORATION;2164869;309;20520;20520;228020;1854901;30348981;2452104;27044485;777915;1054919;1460288;3691252;645220;36607700
WOORI FINANCIAL GROUP;12517035;n.a.;491451;614863;n.a.;42446958;228610798;48775256;234275972;729064;5090435;6539956;22017907;302887;312645300
WSFS FINANCIAL CORPORATION;83911;0;195000;195000;49462;244826;9586860;571752;8508336;568745;444948;631911;1849487;472828;12256300
WUXI RURAL COMMERCIAL BANK CO.,LTD;540026;86322;388374;1821455;n.a.;771316;18800361;2442630;11750032;31217;421437;506614;1678868;n.a.;23173339
YAMAGUCHI FINANCIAL GROUP, INC;200377;n.a.;1485419;2331711;4778059;259384;82857031;9154545;69795982;98234;811003;1351748;5798004;20589;97565919
YAPI VE KREDI BANKASI A.S.;6376003;n.a.;n.a.;1658829;n.a.;14998566;38266926;7569684;41129077;330520;2176205;3178925;6619384;172150;68788699
YES BANK LIMITED;344785;175099;n.a.;8159328;n.a.;8191519;12713165;1133216;22725814;n.a.;901224;2458482;2877854;n.a.;34201642
YUANTA FINANCIAL HOLDING CO LTD;3688053;1581192;6598881;7034244;1578668;2912971;36388303;28409453;25691919;1102686;868030;2178986;8310848;997472;80193951
ZAGREBACKA BANKA DD;1999425;n.a.;n.a.;1241370;n.a.;8271;17113764;7656343;12538665;54136;520007;864824;2863046;7369;21890068
ZENITH BANK PLC;2303267;n.a.;n.a.;n.a.;n.a.;1250049;13883677;6343104;7509983;53736;869808;1625420;3068032;n.a.;20673872
ZENKOKU HOSHO CO., LTD;596596;n.a.;n.a.;n.a.;n.a.;275989;304;1815327;26219;6053;n.a.;415851;1334397;n.a.;3431168
ZIONS BANCORPORATION, NATIONAL ASSOCIATION;731113;484409;986878;986878;1002382;1962589;57085490;2113626;48342919;1040947;2281944;2836517;7353251;1014128;69171552
