Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
NORDEA BANK ABP;9566873;n.a.;2582696;38873005;49750886;180287702;186962944;144757935;362566069;4150962;4850841;9690447;35418551;2211974;623316162
NORTHEAST SECURITIES CO., LTD;3313970;641131;1571239;1914915;n.a.;2540474;n.a.;7344076;1399396;45988;-11475;1140517;2311410;10866;9763550
NORTHERN TRUST CORPORATION;41814585;712785;889939;889939;6911380;4587989;109120649;44198324;31305040;817387;1677888;6073437;11090956;696822;136828000
NORTHWEST BANCSHARES INC;33711;0;92736;92736;153600;173892;8684820;182749;8769238;371026;375427;474918;1353285;346103;10638200
NORWEGIAN FINANS HOLDING ASA;238515;n.a.;n.a.;6008;n.a.;838332;4569290;1920104;4619647;58182;599167;635751;1079010;n.a.;6614281
NOVA LJUBLJANSKA BANKA D.D.;320870;n.a.;n.a.;239537;9737;318004;13045275;3124340;8543102;44421;357788;613757;1944489;3964;15923168
OAKTREE CAPITAL GROUP, LLC;n.a.;n.a.;n.a.;n.a.;n.a.;5972269;n.a.;8209434;2596;n.a.;171711;1239489;1702169;n.a.;9264762
OCEANFIRST FINANCIAL CORP;38601;0;71739;71739;363024;274709;6346025;116540;6207678;390282;256751;299246;1153119;374632;8259870
OFG BANCORP;731262;0;190000;190000;45254;184893;7686840;826547;6641843;193813;325058;401017;1045479;86069;9297660
OLD NATIONAL BANCORP;41571;0;678196;678196;90728;2055440;14553470;282505;12109879;1122463;604273;804335;2852456;1036990;20411700
ORIENT SECURITIES CO LTD;6211177;3464511;8226429;9140221;n.a.;9867519;n.a.;30882625;1932739;28718;127468;2749577;7730304;4599;37637246
OTP BANK PLC;1391325;n.a.;n.a.;2759717;n.a.;2365810;51473528;13666150;40303528;821806;2364962;4105154;7773929;357261;68269548
OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC;15435148;166381;n.a.;6123575;13266061;8765892;224800403;81206766;194736196;3696481;4699558;8349214;36076896;3316565;364972194
