Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
JPMORGAN CHASE & CO;US;632531000;388915000;183675000;183675000;90833000;267931000;1562431000;75629000;2687380000;1015647000;980365000;53341000;57595000;116211000;261533000;47823000
INDUSTRIAL & COMMERCIAL BANK OF CHINA (THE) - ICBC;CN;270400455;120965506;362224556;37680406;63025189;110548017;3288629567;2477887;4309351040;745291248;2336704143;3772578;86865034;111424358;385287387;1362101
JAPAN POST HOLDING CO LTD;JP;133694816;119927318;196551516;196551516;2519559;1180534;1668609616;n.a.;2632000541;626830877;97658136;2683468;n.a.;110019056;116069682;23459
CHINA CONSTRUCTION BANK CO., LTD;CN;216048946;79835265;409094314;16410190;141831972;55719908;2628637874;n.a.;3640512489;651773287;2081103029;3155718;73090024;98002289;319897950;402032
BANK OF AMERICA CORPORATION;US;412113000;274597000;165109000;165109000;101396000;216706000;1434806000;83270000;2434080000;682918000;1019182000;72157000;49667000;90364000;264844000;68951000
AGRICULTURAL BANK OF CHINA LIMITED;CN;210177900;101409903;356519962;7613711;85572062;121824101;2653908806;6011;3560653752;666227416;1834780289;3506369;69682410;86739086;280486902;197653
WELLS FARGO & COMPANY;US;225074000;104974000;92403000;92403000;51507000;194090000;1322960000;17430000;1927550000;354976000;973227000;41920000;47768000;85256000;187984000;28033000
BANK OF CHINA LIMITED;CN;200303276;22096322;512044650;25391441;n.a.;103339057;2263853993;2787319;3258872733;713776721;1823876468;3283383;53563761;75143838;282910545;384428
CITIGROUP INC;US;425716000;251322000;166339000;166339000;82104000;215050000;1070646000;72496000;1951160000;668918000;705334000;26948000;46592000;74717000;193946000;22126000
HSBC HOLDINGS PLC;GB;364169000;290010000;261387000;197548000;62890000;81418000;1439115000;236529000;2715152000;1179663000;1041299000;20163000;30462000;58452000;192668000;5590000
BANCO SANTANDER SA;ES;45995360;n.a.;171845352;n.a.;98457010;229672360;886865768;80165814;1710595340;412128224;1053100861;31103572;39636917;57705680;124314304;27237953
BNP PARIBAS;FR;241677011;218537220;335415741;244528199;n.a.;204199268;936345914;150087344;2431838268;627079552;905389508;13108953;23734069;50758576;125646657;8781617
MITSUBISHI UFJ FINANCIAL GROUP, INC.;JP;276338418;253625556;335067656;301294886;181679316;379957244;1726067686;39903258;3096332940;1084234840;997000688;13784793;17413220;43676340;155066583;2609678
AMERICAN EXPRESS COMPANY;US;20694000;87000;0;0;15134000;49926000;75407000;0;198314000;24307000;146380000;3582000;8620000;43579000;23128000;3315000
BANCO BRADESCO SA;BR;14603482;11979494;49889584;43199925;6798256;49867962;91271584;n.a.;337246976;77927980;85688740;2859177;19661325;43005459;33181117;962430
MORGAN STANLEY;US;260244000;194773000;62705000;62705000;31943000;180160000;190356000;81046000;895429000;502446000;172309000;9251000;6669000;41518000;82697000;7143000
POSTAL SAVINGS BANK OF CHINA CO LTD;CN;63741806;21095463;27555031;14120223;n.a.;12101617;1333056521;n.a.;1462245013;154698438;688143975;294833;34381565;39661657;77984685;n.a.
CHINA MERCHANTS BANK CO LTD;CN;74782739;15594819;213710317;9050093;3831974;31097610;697721619;6106627;1061577205;215424787;612179757;2079433;24773150;38577787;88408043;1424646
GOLDMAN SACHS GROUP, INC;US;343338000;221469000;132590000;132590000;53592000;221076000;189690000;65389000;992996000;695318000;145108000;4838000;4367000;36788000;92059000;4196000
SUMITOMO MITSUI FINANCIAL GROUP, INC;JP;153808119;126576996;178142223;143730640;123284632;241829272;1168741687;18514058;2022663529;747381783;754723227;6932650;11744195;34838060;99217133;1787387
SBERBANK OF RUSSIA;RU;28246188;15581764;13549641;5198229;n.a.;23479260;348063276;n.a.;483944145;100693478;328943873;1486131;23689257;33685106;72476366;219689
ROYAL BANK OF CANADA;CA;274266709;245129172;204082061;184484037;n.a.;7458206;653658035;29110941;1085816837;449441476;470255305;12089665;15006838;31851823;63544831;8537994
BANK OF COMMUNICATIONS CO. LTD;CN;92855159;2226277;272517816;15293831;73333762;58717904;869172455;1944755;1417718607;262257762;741899664;534421;20621583;31690997;114628881;61543
TORONTO DOMINION BANK;CA;145530391;126090422;108363979;95635256;n.a.;18853343;661265938;150817625;1075448296;351240111;521583571;14801671;18184650;29737081;66642095;12899696
BANCO BILBAO VIZCAYA ARGENTARIA SA;ES;15362493;2070426;62050991;3626335;2187260;85123377;431030549;72598592;784908244;223098224;430773291;7824480;20448124;29825143;61703860;5566446
ITAU UNIBANCO HOLDINGS SA;BR;57817671;49236494;64416266;63666657;n.a.;98306988;125068606;49875;406312737;154118505;136413982;4892931;15961142;29199027;37087168;2768666
CAPITAL ONE FINANCIAL CORPORATION;US;9658710;0;313757;313757;16931100;40294450;262705043;0;390365000;13715650;259001183;15127152;23339433;28591240;58010498;14653300
BARCLAYS PLC;GB;253436524;240808393;296572143;276082921;34935994;91145876;525365178;147872744;1496151484;734210909;409048329;10653346;12343395;28464470;86155769;5116073
SOCIETE GENERALE;FR;211000331;168088703;245666203;130246979;n.a.;159392465;460427677;143923249;1523670592;515650643;508965291;7852565;12565227;27570479;77031528;5197971
SHANGHAI PUDONG DEVELOPMENT BANK;CN;39990697;411192;232485328;32572348;102189494;44512809;524093597;255904;1002709165;132938742;562537564;2481466;18441391;27291827;80299269;999141
CHINA CITIC BANK CORPORATION LIMITED;CN;48060397;1424646;199770572;16006584;63205238;31423357;582976665;121225;966141826;185579217;557120647;398741;18215400;26904680;76216401;130528
DEUTSCHE BANK AG;DE;115446186;97654902;138125382;51785363;42245451;119191601;556477241;130881700;1457806782;458080895;479490649;7896378;15445625;26779606;69830535;3236515
STATE BANK OF INDIA;IN;22402574;n.a.;6075957;n.a.;n.a.;39519183;432884420;n.a.;556800710;44551073;304138323;205607;14422837;26142062;34357080;205607
INDUSTRIAL BANK CO LTD;CN;51638757;5991269;349044079;27681694;683126;34849005;543127517;603120;1022710882;158892513;493982105;168742;14739945;25949334;78667811;76141
CHINA MINSHENG BANKING CORPORATION;CN;52624731;9417346;292930726;14556319;14167454;39766280;520543004;741949;956324737;210870758;507659935;209246;14017890;25439387;75973808;29483
LLOYDS BANKING GROUP PLC;GB;84880359;73683783;64465930;50757899;25310061;127769294;540330249;13696222;1094192701;382040346;591834761;8046104;13357687;24089762;62728643;3049437
BANK OF NOVA SCOTIA (THE) - SCOTIABANK;CA;126895133;99679328;129803948;94287991;2045593;5510638;521771261;30641336;825350280;280857894;450215032;13271276;13052431;23582066;53337384;7318389
CREDIT AGRICOLE S.A.;FR;614021152;128848346;247450162;117473923;n.a.;251878605;724980479;82556408;1985769888;1226479654;443840678;20718864;12856188;23051042;79585016;17165550
US BANCORP;US;17897000;1036000;1993000;1993000;23873000;36396000;361916000;1628000;495426000;25278000;297660000;12878000;13052000;22886000;52483000;9655000
BANCO DO BRASIL S.A.;BR;106283134;96963449;107643562;100333818;n.a.;87730100;120344978;n.a.;360355022;153287983;143797120;1469082;13349303;22264504;27287506;n.a.
MIZUHO FINANCIAL GROUP;JP;215765877;191579114;196342500;175523033;135686849;137989352;1206896757;20359476;1974784585;643060537;763971866;5852245;6748326;21405907;79704189;563717
UNICREDIT SPA;IT;114214940;n.a.;152301565;n.a.;n.a.;108184529;531331059;57474260;961233715;276586661;589553503;3145520;11539563;20713247;69409260;n.a.
ING GROEP NV;NL;96915705;67490493;87483640;48360117;58202223;95556392;645317948;12477602;1001785079;216545432;689823680;2153558;15815223;20396448;61407283;1018924
INTESA SANPAOLO;IT;55076925;n.a.;116074166;n.a.;n.a.;95350809;372048687;50811375;916808867;362179619;470466378;10347636;7778421;20216704;63151923;n.a.
PING AN BANK CO LTD;CN;32541004;8904537;78458851;5739087;59885787;14733076;352049231;4249463;563771284;75126663;323364674;1707314;12875483;19749248;44795048;1083154
CHINA EVERBRIGHT BANK COMPANY LIMITED;CN;14110777;978245;151716472;3664377;2754973;26086160;431929007;14312;677462567;81313152;390419203;431516;14586804;19026621;55253184;183340
PNC FINANCIAL SERVICES GROUP INC;US;25835210;2422410;6299030;6299030;20796100;34882719;288555830;455150;410373000;34127750;238193160;11084680;9965065;17821543;49342459;9233140
BANK OF MONTREAL;CA;87772034;81702885;87841943;69744679;n.a.;5315349;413622328;19949088;647564571;249434643;323779626;6659574;9793313;17306230;38811549;4817629
BANK OF NEW YORK MELLON CORPORATION;US;139716000;30182000;11401000;11401000;16887000;25284000;259529000;1657000;381508000;153476000;54534000;20493000;3197000;16463000;41728000;17386000
COMMONWEALTH BANK OF AUSTRALIA;AU;14402575;8805455;29371572;13208873;13941278;15524351;426676558;105366683;675349040;80496738;522255714;5508596;12531797;16333523;48169267;4131620
STANDARD CHARTERED PLC;GB;121791000;69583000;84604000;56042000;n.a.;70527000;405357000;20691000;720398000;325642000;271064000;5290000;7667000;15717000;50661000;3079000
NATWEST GROUP PLC;GB;78246129;64220558;91702227;64812337;n.a.;71858583;484507452;35182678;948735625;222489466;429003507;8689057;10558871;15707748;57152005;7357225
BANCO SANTANDER (BRASIL) S.A.;BR;27104321;n.a.;39149184;24934278;n.a.;34600726;68983617;7234329;189136109;73176740;81064855;7591818;10997520;15004047;24120781;7040769
WESTPAC BANKING CORPORATION;AU;8613749;8613749;9375036;9375036;n.a.;137195696;380135398;516973;611881883;87973889;482398270;8067080;11410534;13894841;44210674;6003235
CANADIAN IMPERIAL BANK OF COMMERCE;CA;55694527;45421731;49275834;40746959;n.a.;3559270;360553181;15634498;495139803;141391333;295547864;5636778;8017477;14142097;29316109;4140577
SYNCHRONY FINANCIAL;US;10050000;0;0;0;4206000;15660000;65159000;0;104826000;11237000;81777000;2343000;12946000;13313000;15088000;1078000
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED;AU;49602450;27186997;65007717;5351282;7971919;87528455;370073989;n.a.;662169357;149318249;415237621;3280689;9677391;12677996;41029870;2339878
JAPAN POST BANK CO LTD;JP;101489028;90564750;157083796;157083796;n.a.;97617;1683550969;n.a.;1940302569;576790627;45636635;435308;8934665;12983873;82826636;n.a.
TRUIST FINANCIAL CORPORATION;US;16387000;1417000;2228000;2228000;21092000;35163000;334727000;1074000;473078000;26177000;306666000;29926000;7313000;12561000;66558000;24154000
NATIONAL AUSTRALIA BANK LIMITED;AU;54212017;38640724;45723125;22592277;n.a.;119152919;313095556;22462697;571723984;130626219;401234796;3763242;9150294;11737186;37527139;1932914
HUA XIA BANK CO., LIMITED;CN;9081007;3442107;135237010;13421211;n.a.;14666523;239197937;n.a.;432344207;27488765;261796334;11450;9240160;12127379;38548304;n.a.
AMERIPRISE FINANCIAL, INC.;US;n.a.;n.a.;n.a.;n.a.;750000;2791000;14430000;n.a.;151828000;6213000;5243000;1280000;-1019000;12084000;5729000;1167000
NOMURA HOLDINGS INC;JP;146339582;146339582;159251413;159251413;60731612;71533259;n.a.;78622671;404782121;287978317;47073718;1185041;1194287;11847553;25126625;4342
STATE STREET CORPORATION;US;70452000;1487000;1102000;1102000;1873000;12495000;181873000;5000;245610000;74274000;26235000;9586000;2723000;11770000;24431000;7556000
DISCOVER FINANCIAL SERVICES;US;5995710;0;0;0;4747490;20953613;72836730;0;113996000;6954770;92514360;410467;9839668;11452265;11859042;255421
SHINHAN FINANCIAL GROUP;KR;10364372;n.a.;8482513;7850869;n.a.;86720909;254684971;9536978;477128682;107939310;281050099;4801100;8410748;11325527;36215565;4050828
HDFC BANK LTD;IN;3436883;n.a.;2516512;n.a.;n.a.;24554767;149757734;n.a.;209698419;13015730;137093371;n.a.;7965928;11099612;23470615;n.a.
DBS GROUP HOLDINGS LTD;SG;31677554;2479216;19141182;1494953;22621735;23699526;300095762;n.a.;429740213;89884207;265650244;3837589;7144448;10795725;38449377;n.a.
CHARLES SCHWAB CORPORATION;US;35009000;9012000;0;0;1944000;6730000;220108000;9000;294005000;43931000;37691000;1355000;6407000;10749000;21745000;1227000
CAIXABANK, S.A.;ES;5788879;n.a.;24866456;2692789;789750;46662660;246698608;530245;439714430;45023619;249754255;4312732;5561953;10693643;28254630;3427493
NATIXIS SA;FR;159103751;107226269;188819924;115756244;49429594;9560133;34110913;70245069;576495103;283045087;76686644;5175503;903213;10421106;23395925;4401481
VTB BANK (PUBLIC JOINT-STOCK COMPANY);RU;22398584;10152539;20041774;4760466;n.a.;15513919;176247105;n.a.;250640903;51436299;166776248;3379334;7117277;10242999;26706750;2267966
COMMERZBANK AG;DE;28491667;n.a.;49923889;n.a.;n.a.;50008144;297754884;24227241;520848615;136304351;277294403;3429740;5700131;10240913;34451303;1709815
NORDEA BANK ABP;FI;9566873;n.a.;38873005;2582696;49750886;180287702;186962944;n.a.;623316162;144757935;362566069;4150962;4850841;9690447;35418551;2211974
SUMITOMO MITSUI TRUST HOLDINGS, INC;JP;19039623;18044334;15656790;14341482;97613444;79967114;282326781;0;519784305;140459094;272089890;1190938;1172732;9396633;23835383;414784
CATHAY FINANCIAL HOLDINGS CO LTD;TW;17012535;1447782;4463783;1670050;n.a.;4445018;76511120;1996759;334334658;110431723;68649481;1703015;6522504;9380177;25975791;628611
PRINCIPAL FINANCIAL GROUP INC;US;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BANK OF BEIJING CO LTD;CN;19069844;4521969;118615714;3304852;n.a.;13198941;221143550;n.a.;391733215;64162444;201373692;77716;7095892;9035208;29907399;n.a.
KBC GROEP NV/ KBC GROUPE SA;BE;34818655;28754543;23922800;2880397;n.a.;20693025;207544753;19894288;326611656;86017603;175043672;1842376;5188984;8604119;22878038;985222
OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC;SG;15435148;166381;6123575;n.a.;13266061;8765892;224800403;68144;364972194;81206766;194736196;3696481;4699558;8349214;36076896;3316565
STANDARD BANK GROUP LIMITED;ZA;2451100;2451100;10537918;1902315;n.a.;2349713;93049812;4965227;162246071;47249441;84208300;1591596;4486030;8336790;14935894;162774
FIFTH THIRD BANCORP;US;1950060;0;728719;728719;3002060;12510140;127368827;149096;169369000;6012400;109755950;5446540;4863149;8317065;21202827;4252380
MACQUARIE GROUP LTD;AU;23285928;23285928;1441245;1441245;n.a.;53828716;41583689;5232078;157957752;45208415;58117254;2017990;1147933;8276971;13451621;1060248
ICICI BANK LIMITED;IN;12435285;n.a.;5116564;n.a.;429420;26368553;102677771;n.a.;182698914;17119442;93524461;n.a.;5328616;8203733;17212081;n.a.
BANK RAKYAT INDONESIA (PERSERO) TBK;ID;3539704;1624504;4882580;3589880;929031;4179087;71676678;n.a.;101917731;14215230;62455387;n.a.;5733966;7996340;15019370;n.a.
RAYMOND JAMES FINANCIAL INC;US;3896641;326191;200010;200010;882651;1917480;22975103;209939;40154000;5221980;24760033;609993;1001871;7925996;6902492;464723
HANA FINANCIAL GROUP;KR;5800776;n.a.;4305005;3612380;n.a.;52358652;235614370;14725962;364057828;71666284;244523609;565930;4986791;7885618;23959380;73564
FUBON FINANCIAL HOLDING CO LTD;TW;19723332;3087987;11130308;6160964;n.a.;8950697;85000864;142537;283920199;91340508;65408451;1086600;4539984;7651417;20583481;527604
THE BLACKSTONE GROUP INC;US;n.a.;n.a.;154118;154118;n.a.;11623717;n.a.;75545;32585506;2523651;n.a.;2267368;-17250;7583018;15015401;1869860
BOC HONG KONG (HOLDINGS) LTD;HK;24164505;n.a.;34402081;n.a.;14897;1901117;258029153;2466418;388603572;147178503;181016310;n.a.;5203930;7512007;39487865;n.a.
UNITED OVERSEAS BANK LIMITED UOB;SG;39222056;n.a.;11357878;n.a.;6479124;12356191;230645845;n.a.;300184524;81609522;197044179;3078830;4871111;7482976;29590206;3078830
ALLY FINANCIAL INC;US;2863000;0;0;0;12199000;27359000;120751000;0;180644000;3484000;127126000;462000;4258000;7447000;14416000;393000
GRUPO FINANCIERO BANORTE S.A.B. DE C.V.;MX;771337;162906;21181097;18363562;n.a.;3977512;36165549;n.a.;83841509;16295502;39904963;1416806;4341742;7409738;10400420;1416806
EMIRATES NBD BANK PJSC;AE;10937383;n.a.;11358829;136419;n.a.;14430833;128572042;n.a.;186064140;33755232;119109604;1799162;3977634;7304899;22221065;1512717
DANSKE BANK A/S;DK;64223101;51934271;72491499;57636873;1621205;55588160;144479845;119193067;563377222;133750206;273668718;1372849;4177864;7207118;25540826;921973
BANK OF SHANGHAI;CN;26762074;324468;110880963;9066790;329797;5581323;172255838;57310;320177748;75580212;134710265;106432;4339575;7128779;25365197;n.a.
QATAR NATIONAL BANK (Q.P.S.C.);QA;21790182;n.a.;21534024;6829496;n.a.;16385577;188046416;n.a.;259532345;40056216;186451063;1097038;5548481;7042935;26021751;539231
PARGESA HOLDING SA;CH;1405598;n.a.;14357;n.a.;1019108;6619087;n.a.;531915;35125696;22648626;1075398;6037079;-98430;6624974;23977380;5333712
WOORI FINANCIAL GROUP;KR;12517035;n.a.;614863;491451;n.a.;42446958;228610798;2555106;312645300;48775256;234275972;729064;5090435;6539956;22017907;302887
