Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED;IN;40202;n.a.;29108;n.a.;3838702;35090186;17521228;n.a.;96810533;5437623;59095421;372627;1919603;4654194;17753516;213139
CTBC FINANCIAL HOLDING CO LTD;TW;5562062;550832;5957701;3496515;n.a.;3756814;111608004;1364124;206584550;44983833;82094339;811302;3674925;4648471;12662587;598397
BANK OF NANJING;CN;7377805;3892676;42337491;4079300;n.a.;9682665;123608558;222612;192276422;31608593;78642848;62057;3059976;4643232;12584542;n.a.
BANGKOK BANK PUBLIC COMPANY LIMITED;TH;6959342;n.a.;4455329;n.a.;n.a.;4798070;78622804;n.a.;106677162;18042453;62712941;58367;2356934;4381455;14197663;n.a.
CREDICORP LTD.;BM;2100978;1294063;5146340;2316843;n.a.;4510067;33797642;148974;56691820;13002337;33372994;770149;2743149;4367310;8070703;n.a.
GARANTI BBVA;TR;5084819;4518;749403;246401;n.a.;9019087;46163973;2412273;72187765;14243812;45496284;5542;2942102;4294320;9096926;5542
GUOTAI JUNAN SECURITIES CO., LTD;CN;11334237;7720051;19394008;18035966;n.a.;11985131;n.a.;21987007;80050705;64199619;10509086;311158;748069;4291081;20909378;85847
CIMB GROUP HOLDINGS BERHAD;MY;2880701;2202676;9837395;4054445;2089748;8398465;95870365;892056;140072243;30174749;88048894;2331755;2464000;4282541;14042535;1919985
KRUNG THAI BANK PUBLIC COMPANY LIMITED;TH;2837907;n.a.;7157343;n.a.;n.a.;3211557;71495159;n.a.;99894415;15104327;64991892;129344;2928842;4155020;11551582;n.a.
OTP BANK PLC;HU;1391325;n.a.;2759717;n.a.;n.a.;2365810;51473528;104709;68269548;13666150;40303528;821806;2364962;4105154;7773929;357261
NEDBANK GROUP LIMITED;ZA;1586320;n.a.;4117987;n.a.;n.a.;4498365;60363088;n.a.;81519063;11134686;55226673;952976;2150862;4061091;7019266;360556
DAIWA SECURITIES GROUP INC;JP;61590950;61590950;66734050;66734050;19234012;23581546;n.a.;21624647;219154552;141453556;1279043;1141812;111279;4035879;11570948;125382
KOTAK MAHINDRA BANK LIMITED;IN;7238305;n.a.;267409;n.a.;n.a.;8647468;34326222;n.a.;58787214;8500244;33146643;107945;2331136;4034969;8905775;107945
BANK LEUMI LE ISRAEL BM;IL;3767940;425347;1924769;137731;n.a.;5774884;108205729;n.a.;135744791;23497396;81950810;259259;2558160;3998264;10380208;4630
BANKIA, SA;ES;6160248;3959462;59403237;22061986;n.a.;22605363;126018376;304703;234193227;34672623;131918746;450939;2272668;3987483;14980646;99378
BANK HAPOALIM BM;IL;1526910;136285;1019387;868;n.a.;7769965;104840856;n.a.;134168981;27546296;85333044;327546;2721933;3970486;11059317;n.a.
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA - PKO BP SA;PL;1362140;284646;676199;n.a.;1043790;8112278;67976403;95321;91645991;22900175;60655920;836822;2706638;3956078;10948205;315981
BANK OF AYUDHYA PUBLIC COMPANY LTD.;TH;3871991;n.a.;8361113;n.a.;n.a.;5825662;51962759;n.a.;78251364;12186222;58200439;560556;2534423;3817902;9024197;409730
DEUTSCHE BOERSE AG;DE;74983008;74983008;67799653;67799653;350388;36527796;15481573;25143261;154091478;135821177;9437457;5626436;275458;3671720;6864647;3898759
BANK NEGARA INDONESIA (PERSERO) TBK, PT;ID;1665945;29598;990409;157068;17840;4321452;41906369;n.a.;60830511;6509273;38836192;n.a.;2413255;3661657;8992440;n.a.
BANCO DE CREDITO DEL PERU;PE;1239822;873642;1813012;1751158;n.a.;6932174;30003972;n.a.;45461662;3948292;30276443;424058;2455981;3588599;5740917;83380
HUATAI SECURITIES COMPANY LIMITED;CN;9778056;2642948;17329561;15703312;n.a.;16920372;n.a.;1056273;80460946;47638437;9965598;1151470;303660;3560694;17984071;334029
SHENWAN HONGYUAN GROUP;CN;9203745;5617710;13581638;12014288;n.a.;15892632;n.a.;54984;55608597;33349056;7592445;20569;460809;3520252;12141320;n.a.
COMERICA INCORPORATED;US;4845000;30000;71000;71000;674000;6595000;57507000;0;73519000;5979000;49738000;639000;2339000;3349000;7327000;635000
GF SECURITIES CO.LTD;CN;6158603;2961015;14080500;13653416;n.a.;12588036;n.a.;178907;56446409;41833700;8281027;39313;488108;3337503;13473106;333
SVB FINANCIAL GROUP;US;5966420;289340;0;0;18596;565964;62138220;0;71384000;6680925;32859676;187240;2097618;3318075;6621078;137823
ABU DHABI COMMERCIAL BANK;AE;6564033;283578;1792739;231738;818062;13700703;71366584;n.a.;110315772;28871619;68078236;1452007;2039081;3194384;15166138;1255731
BANK OF HANGZHOU CO LTD;CN;14267265;5899405;42100371;5380397;n.a.;4835439;88732845;7174;146567926;29100367;56888860;163611;2234596;3064134;8951567;n.a.
AMUNDI SA;FR;1331733;n.a.;917508;n.a.;n.a.;535654;n.a.;9456444;27255221;14042297;n.a.;6961533;-15022;3013529;9998587;6416573
AIB GROUP PUBLIC LIMITED COMPANY;IE;1724419;n.a.;924558;n.a.;1404250;8210930;80663480;n.a.;110724536;33415529;68401570;1030158;2332178;3003971;15985980;78638
NATIONAL BANK OF KUWAIT S.A.K.;KW;15845234;n.a.;25018740;n.a.;1777301;1251625;52567489;n.a.;96587210;34931742;54620025;1923534;1864075;2955014;14054315;1336756
RIYAD BANK;SA;5163650;3901013;3499862;2904267;n.a.;1067474;51871442;n.a.;70877038;12148680;46395202;n.a.;2089871;2898722;10819057;n.a.
BDO UNIBANK INC;PH;767697;n.a.;1346819;n.a.;n.a.;2389524;48975800;n.a.;62842070;5827349;42920976;186071;2362664;2860358;7303070;89370
ZIONS BANCORPORATION, NATIONAL ASSOCIATION;US;731113;484409;986878;986878;1002382;1962589;57085490;65811;69171552;2113626;48342919;1040947;2281944;2836517;7353251;1014128
DWS GROUP GMBH & CO. KGAA;DE;n.a.;n.a.;n.a.;n.a.;93242;157276;n.a.;920064;12303475;6182069;3370;4248698;13481;2834338;7697536;3236515
SCHRODERS PLC;GB;459515;n.a.;127410;n.a.;n.a.;4558278;n.a.;661586;27904444;6754030;528928;1487191;69938;2785170;5048497;999596
ORIENT SECURITIES CO LTD;CN;6211177;3464511;9140221;8226429;n.a.;9867519;n.a.;1807780;37637246;30882625;1932739;28718;127468;2749577;7730304;4599
MEDIOBANCA - BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI;IT;9060675;n.a.;15785030;n.a.;n.a.;22848978;27298199;9199144;89042465;23255517;55349938;1026200;1597977;2739075;11264927;n.a.
