Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;TotalAssetes
MIZUHO SECURITIES CO LTD;61341014;57715467;50206083;50206083;2934683;20565024;7030285;95504272;232861;829264;997203;2595078;8235400;162306482
MACQUARIE GROUP LTD;23285928;23285928;1441245;1441245;NA;53828716;41583689;45208415;58117254;2017990;3183830;8276971;13451621;157957752
THE BANK OF YOKOHAMA, LTD;1872475;NA;1959025;4963082;1356440;3978031;134627539;25577940;105849378;116615;1387709;1643873;8657139;155194191
DEUTSCHE BOERSE AG;74983008;74983008;67799653;67799653;350388;36527796;15481573;135821177;9437457;5626436;596750;3671720;6864647;154091478
AMERIPRISE FINANCIAL, INC;NA;NA;NA;NA;750000;2791000;14430000;6213000;5243000;1280000;NA;12084000;5729000;151828000
BANCA MONTE DEI PASCHI DI SIENA SPA;17662546;NA;NA;22668116;NA;19595748;85970330;34805761;99965884;197827;2365689;3680952;9302748;148508975
BANK OF IRELAND;1905286;NA;224680;2693913;NA;12030489;93369132;42318472;89295684;941409;2836585;3363459;10956519;148196662
BANK OF IRELAND GROUP PLC;1905286;NA;224680;2693913;NA;12020378;93284877;41987070;89295684;941409;2836585;3371323;11720431;148157343
KEYCORP;1212071;5481;386588;386588;2009920;10438588;111889737;3064929;95935306;3506417;5233916;6363221;17038128;145570000
CHIBA BANK LTD;1643974;183983;2923790;4947709;4112999;5874674;117503997;22967618;96912662;134250;1331012;1561417;8549522;143605672
UNIONE DI BANCHE ITALIANE SPA;13392374;NA;NA;16140992;NA;25669435;81533278;29403659;100898158;1954607;2449510;4016962;10724998;142138500
MACQUARIE BANK LTD;28130216;23284693;1433835;1433835;NA;32206333;41528732;42786580;54166488;114238;2755903;4244695;8785173;139638995
NORTHERN TRUST CORPORATION;41814585;712785;889939;889939;6911380;4587989;109120649;44198324;31305040;817387;2499910;6073437;11090956;136828000
ANNALY CAPITAL MANAGEMENT INC;NA;NA;101740728;101740728;1469833;2985867;NA;1850729;11464810;470850;3787297;-2026351;15796344;130295081
REGIONS FINANCIAL CORPORATION;2516000;0;0;0;3854000;6102000;97874000;4517000;82731000;5355000;4585000;5908000;16295000;126633000
HOKUHOKU FINANCIAL GROUP INC;725014;NA;2819853;3447857;745483;7614416;106330436;25823129;79132910;159338;1004940;1385952;5476707;125527704
M&T BANK CORPORATION;7193650;3500;164042;164042;1499210;5385294;94770110;8685788;89871809;4990191;4879592;6115748;15716631;119873000
FIRST REPUBLIC BANK;234864;0;450000;450000;4300000;9525604;90133300;1699872;90324031;276989;3598529;3340662;9851107;116263634
THE SHIZUOKA BANK;1667976;NA;3066973;4273073;1283836;6794103;91685330;14490580;81826857;427387;1240626;1378804;9133321;115388891
UNICREDIT BANK AUSTRIA AG;8087356;530245;14604;16715066;NA;13535845;64123664;32317967;71085373;3370;1551415;2300723;9533171;114208199
DISCOVER FINANCIAL SERVICES;5995710;0;0;0;4747490;20953613;72836730;6954770;92514360;410467;12340484;11452265;11859042;113996000
VIRGIN MONEY UK PLC;1252242;NA;10901147;10967572;1230;11740075;78725172;19033338;90225377;634732;3002674;2151445;6176332;111937873
ALLIED IRISH BANKS PLC;1822155;267369;NA;924558;1404250;8213176;80667973;33513264;68318439;1030158;2662458;3006218;15991597;110739141
AIB GROUP PUBLIC LIMITED COMPANY;1724419;NA;NA;924558;1404250;8210930;80663480;33415529;68401570;1030158;2662458;3003971;15985980;110724536
HUNTINGTON BANCSHARES INC;226495;0;1040680;1040680;3603280;8085584;82496020;1275489;75497966;2465408;4224798;4666723;11794738;109002000
