Name;Country ISO code;TotalAssetes;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity
THE SHIZUOKA BANK;JP;115388890,8;1667976,138;n.a.;3066973,427;4273072,824;1283836,291;6794103,27;91685329,75;14490580,08;82241640,37;427387,3192;976908,9573;1378804,095;9133321,382
SHINKIN CENTRAL BANK;JP;375971457,3;1917525,365;203817,8543;18587498,34;19012438,56;202585,1036;49557619;286787930,8;129905588,7;77903618,14;205262,1966;860184,0223;1515538,231;14262061,21
RESONA HOLDINGS, INC;JP;556692328,3;5344048,022;n.a.;4898187,841;5538813,438;20787921,6;10772824,66;486752353,5;149456628,9;337125605;457865,7012;3966237,487;6402548,519;21311334,68
SUMITOMO MITSUI TRUST HOLDINGS, INC;JP;519784304,9;19039623,47;18044333,65;14341481,63;15656789,87;97613444,03;79967114,07;282326780,7;140459094,1;273260129;1190938,404;1172732,331;9396633,258;23835382,61
NOMURA HOLDINGS INC;JP;404782120,7;146339581,9;146339581,9;159251413;159251413;60731612,03;71533259,13;n.a.;287978317,2;47193423,89;1185041,439;1194287,07;11847553,31;25126624,6
MIZUHO FINANCIAL GROUP;JP;1974784585;215765876,8;191579114,2;175523032,7;196342499,9;135686849,2;137989351,6;1206896757;643060537,3;767876613,4;5852244,912;6748325,9;21405906,9;79704188,58
JAPAN POST BANK CO LTD;JP;1940302569;101489028,3;90564750,13;157083795,7;157083795,7;n.a.;97617,29867;1683550969;576790627,1;45646119,33;435308,2027;8934664,521;12983873,49;82826635,79
MITSUBISHI UFJ FINANCIAL GROUP, INC.;JP;3096332940;276338418;253625556,1;301294886,2;335067656,4;181679316,3;379957244;1726067686;1084234840;1003814312;13784793,48;17413220,47;43676340,05;155066583,1
NATIONAL BANK OF CANADA;CA;249005105,7;32778194,9;10896531;25423486,99;28871452,15;n.a.;11635380,68;158646943,9;101145817,6;124566751,7;2138459,227;3194924,161;5952094,905;12301396,6
CANADIAN IMPERIAL BANK OF COMMERCE;CA;577827751,5;69927166,19;55670521,06;55171196,84;67944135,71;n.a.;4288932,269;415774890,8;192699354,1;308095810;5416729,235;8292536,411;14071932,71;31036942,46
BANK OF MONTREAL;CA;712765429,7;95552635,46;88768583,81;71522751,11;100675026,2;n.a.;8128097,306;465692295,8;283155879,1;336617359,7;6740501,572;10490313,85;17630274,8;42493617,63
ROYAL BANK OF CANADA;CA;1219813785;277929869,2;248636431,7;220501576,7;253931521,1;n.a.;11431145,81;726357560,7;530880011,6;500548880,9;12054362,51;15644240,87;32661060,2;65150172,65
TORONTO DOMINION BANK;CA;1288380387;250271061,5;127017570,1;141820093;163571857,5;1387595,734;25033788,84;830728337;451214896,8;547777443,7;14471392,09;19230364,91;31184111,71;71706712,67
RAIFFEISEN BANK INTERNATIONAL AG;AT;170980900,5;11457955,04;n.a.;1197854,302;26581671,65;n.a.;10415543,33;107656710;48888071,02;105053546,5;850902,3682;3833114,445;6149116,707;15463579,89
WOORI FINANCIAL GROUP;KR;312645300;########;n.a.;491451;614863;n.a.;42446958;228610798;48775256;235636328;729064;5090435;6539956;22017907
LAZARD LIMITED;BM;5639581;1180686;n.a.;n.a.;n.a.;n.a.;2323907;1246200;2455559;690268;373594;-64398;2586773;681574
HUA NAN FINANCIAL HOLDINGS CO LTD;TW;90740324;2877702;26558;1214730;5124208;25178;2093864;73872880;14106247;56163154;30360;844137;1545125;6267875
DBS GROUP HOLDINGS LTD;SG;429740213;########;2479216;1494953;19141182;22621735;23699526;300095762;89884207;269022424;3837589;7144448;10795725;38449377
BANK OF NEW YORK MELLON CORPORATION;US;381508000;########;30182000;11401000;11401000;16887000;25284000;259529000;153476000;54656000;20493000;3197000;16463000;41728000
